,,,0
豆類,だいず［豆腐・油揚げ類］絹ごし豆腐,Calorie_cal,56
豆類,だいず［豆腐・油揚げ類］ソフト豆腐,Calorie_cal,59
豆類,だいず［豆腐・油揚げ類］充てん豆腐,Calorie_cal,59
豆類,だいず［豆腐・油揚げ類］沖縄豆腐,Calorie_cal,106
豆類,だいず［豆腐・油揚げ類］ゆし豆腐,Calorie_cal,50
豆類,だいず［豆腐・油揚げ類］焼き豆腐,Calorie_cal,88
豆類,だいず［豆腐・油揚げ類］生揚げ,Calorie_cal,150
豆類,だいず［豆腐・油揚げ類］油揚げ生,Calorie_cal,410
豆類,だいず［豆腐・油揚げ類］油揚げ油抜き生,Calorie_cal,288
豆類,だいず［豆腐・油揚げ類］油揚げ油抜き焼き,Calorie_cal,398
豆類,だいず［豆腐・油揚げ類］油揚げ油抜きゆで,Calorie_cal,177
豆類,だいず［豆腐・油揚げ類］がんもどき,Calorie_cal,228
豆類,だいず［豆腐・油揚げ類］凍り豆腐乾,Calorie_cal,536
豆類,だいず［豆腐・油揚げ類］凍り豆腐水煮,Calorie_cal,115
豆類,だいず［豆腐・油揚げ類］豆腐よう,Calorie_cal,189
豆類,だいず［豆腐・油揚げ類］豆腐竹輪蒸し,Calorie_cal,126
豆類,だいず［豆腐・油揚げ類］豆腐竹輪焼き,Calorie_cal,139
豆類,だいず［豆腐・油揚げ類］ろくじょう豆腐,Calorie_cal,347
豆類,だいず［納豆類］糸引き納豆,Calorie_cal,200
豆類,だいず［納豆類］挽きわり納豆,Calorie_cal,194
豆類,だいず［納豆類］五斗納豆,Calorie_cal,227
豆類,だいず［納豆類］寺納豆,Calorie_cal,271
豆類,だいず［その他］おから生,Calorie_cal,111
豆類,だいず［その他］おから乾燥,Calorie_cal,421
豆類,だいず［その他］豆乳豆乳,Calorie_cal,46
豆類,だいず［その他］豆乳調製豆乳,Calorie_cal,64
豆類,だいず［その他］豆乳豆乳飲料・麦芽コーヒー,Calorie_cal,60
豆類,だいず［その他］大豆たんぱく粒状大豆たんぱく,Calorie_cal,360
豆類,だいず［その他］大豆たんぱく濃縮大豆たんぱく,Calorie_cal,361
豆類,だいず［その他］大豆たんぱく分離大豆たんぱく塩分無調整タイプ,Calorie_cal,388
豆類,だいず［その他］大豆たんぱく分離大豆たんぱく塩分調整タイプ,Calorie_cal,388
豆類,だいず［その他］大豆たんぱく繊維状大豆たんぱく,Calorie_cal,383
豆類,だいず［その他］湯葉生,Calorie_cal,231
豆類,だいず［その他］湯葉干し乾,Calorie_cal,530
豆類,だいず［その他］湯葉干し湯戻し,Calorie_cal,161
豆類,だいず［その他］金山寺みそ,Calorie_cal,256
豆類,だいず［その他］ひしおみそ,Calorie_cal,206
豆類,だいず［その他］テンペ,Calorie_cal,202
豆類,つるあずき全粒乾,Calorie_cal,348
豆類,つるあずき全粒ゆで,Calorie_cal,159
豆類,ひよこまめ全粒乾,Calorie_cal,374
豆類,ひよこまめ全粒ゆで,Calorie_cal,171
豆類,ひよこまめ全粒フライ味付け,Calorie_cal,419
豆類,べにばないんげん全粒乾,Calorie_cal,332
豆類,べにばないんげん全粒ゆで,Calorie_cal,121
豆類,らいまめ全粒乾,Calorie_cal,351
豆類,らいまめ全粒ゆで,Calorie_cal,152
豆類,りょくとう全粒乾,Calorie_cal,354
豆類,りょくとう全粒ゆで,Calorie_cal,137
豆類,レンズまめ全粒乾,Calorie_cal,352
豆類,レンズまめ全粒ゆで,Calorie_cal,170
種実類,アーモンド乾,Calorie_cal,587
種実類,アーモンドフライ味付け,Calorie_cal,606
種実類,アーモンドいり無塩,Calorie_cal,608
種実類,あさ乾,Calorie_cal,463
種実類,あまにいり,Calorie_cal,564
種実類,えごま乾,Calorie_cal,544
種実類,カシューナッツフライ味付け,Calorie_cal,576
種実類,かぼちゃいり味付け,Calorie_cal,574
種実類,かやいり,Calorie_cal,665
種実類,ぎんなん生,Calorie_cal,171
種実類,ぎんなんゆで,Calorie_cal,174
種実類,（くり類）日本ぐり生,Calorie_cal,164
種実類,（くり類）日本ぐりゆで,Calorie_cal,167
種実類,（くり類）日本ぐり甘露煮,Calorie_cal,238
種実類,（くり類）中国ぐり甘ぐり,Calorie_cal,222
種実類,くるみいり,Calorie_cal,674
種実類,けし乾,Calorie_cal,567
種実類,ココナッツココナッツパウダー,Calorie_cal,668
種実類,ごま乾,Calorie_cal,578
種実類,ごまいり,Calorie_cal,599
種実類,ごまむき,Calorie_cal,603
種実類,ごまねり,Calorie_cal,605
種実類,しい生,Calorie_cal,252
種実類,すいかいり味付け,Calorie_cal,546
種実類,とち蒸し,Calorie_cal,161
種実類,はす未熟生,Calorie_cal,85
種実類,はす成熟乾,Calorie_cal,344
種実類,はす成熟ゆで,Calorie_cal,133
種実類,ひし生,Calorie_cal,190
種実類,ピスタチオいり味付け,Calorie_cal,615
種実類,ひまわりフライ味付け,Calorie_cal,611
種実類,ブラジルナッツフライ味付け,Calorie_cal,669
種実類,ヘーゼルナッツフライ味付け,Calorie_cal,684
種実類,ペカンフライ味付け,Calorie_cal,702
種実類,マカダミアナッツいり味付け,Calorie_cal,720
種実類,まつ生,Calorie_cal,669
種実類,まついり,Calorie_cal,690
種実類,らっかせい乾大粒種,Calorie_cal,562
種実類,らっかせい乾小粒種,Calorie_cal,562
